,Project ID,Drive Time,Tilt,Azimuth,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,"Reinforce-ments",Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,0 / 1,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,,Estimated Total # of People on Site,Notes,,,,,
,001,21,33,180,19,6.84,SolarEdge,1,1,,0,0,0,A1,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,0,2,1,19:00:00,1,2,2,19:00:00,38:00:00,,4,,,,,,
,002,23,45,139,18,6.57,SolarEdge,1,1,,1,1,1,A1,67.8,40,43,1,2,Asphalt Shingles,Flashfoot 2,0,1,1,33:30:00,2,2,2,33:30:00,67:00:00,,4,,,,,,
,003,21,24,180,16,5.12,SolarEdge,1,0,,0,0,0,A3,66.3,39.4,41.2,2,0,Asphalt Shingles,Flashfoot 2,0,1,1,25:20:00,2,2,2,25:20:00,50:40:00,,4,,,,,,
,004,38,20,104,27,10.80,Enphase,1,0,,0,0,0,C2,79.3,39.4,51.8,1,0,Asphalt Shingles,Flashfoot 2,0,1,1,27:00:00,2,2,2,27:00:00,54:00:00,,4,1 this job and the one below it 2 happened,,,,,
,005,38,20,180,27,10.80,Enphase,1,0,,0,0,0,C2,79.3,39.4,51.8,1,0,Asphalt Shingles,Flashfoot 2,2,1,1,27:00:00,2,2,2,27:00:00,54:00:00,,4,1 this job and the one above it 2 happened,,,,,
,006,45,18.4,180,18,6.12,SolarEdge,1,0,,0,0,0,A1,68.5,40.5,43.9,1,0,Asphalt Shingles,Unk0wn,0,1,1,17:00:00,1,2,2,17:00:00,34:00:00,,4,,,,,,
,007,24,26,200,13,4.23,SolarEdge,1,1,,0,0,1,A3,65.43,39.45,41.6,1,0,Asphalt Shingles,Flashfoot 2,0,2,1,19:30:00,1,2,2,19:30:00,39:00:00,,4,,,,,,
,008,21,10,205,20,7.30,SolarEdge,1,0,,1,0,1,B2,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,0,1,1,38:15:00,3,2,2,38:15:00,76:30:00,,4,,,,,,
,009,30,18,185,18,5.76,SolarEdge,1,0,,0,0,0,A2,65.94,39.25,39.7,1,0,Asphalt Shingles,Unk0wn,0,2,1,25:45:00,2,2,2,25:45:00,51:30:00,,4,,,,,,
,010,6,31,90,16,5.12,SolarEdge,1,1,,1,1,1,B2,65.94,39.25,39.7,1,10,Asphalt Shingles,Flashfoot 2,1,1,1,33:45:00,2,2,2,33:45:00,67:30:00,,4,,,,,,
